PLOT,TREE,RECRUIT,DATE,SPECIES,97_0.3D,97_0.5-0.6D,97_1.3D,97_2.3D,97_3.3D,NUMOFCOMPETITORS,COMMENTS97
1,8,0,4/28/1998,THPL,29.4,,22.9,18.5,14.4,0,
1,9,0,4/28/1998,THPL,29.7,,21.8,17.3,15.4,1,
1,43,0,4/28/1998,THPL,,29,24,20.6,18.1,0,0.5m for lowest one
1,48,0,4/28/1998,THPL,28.2,,19.7,17.1,15.3,2,
1,59,0,4/28/1998,THPL,22.7,,17.9,14.8,13.1,1,lower branches cut on 1 side to 1.5m (a long time ago)
3,92,0,4/28/1998,THPL,19.6,,14.7,12.3,10.6,0,
3,99,0,4/28/1998,THPL,16.9,,12.9,11.1,9.8,0,"chlorotic,  dbh paint mark low"
3,251,0,4/28/1998,THPL,26.1,,22.2,19.6,16.6,0,"has epicormics, lower branches cut a long time ago (NumCompetitors was blank -entered 0 as assumed - dwt)"
3,257,0,4/28/1998,THPL,,31,22.3,18.9,16.5,2,"0.4 basal diam, greener foliage than most of plot"
3,292,0,4/28/1998,THPL,27,,21.8,16.3,13.7,0,
6,16,0,4/27/1998,THPL,40,,34.5,27.9,25.9,0,(NumCompetitors was blank -entered 0 as assumed - dwt)
6,21,0,4/27/1998,THPL,33.3,,26,23.1,21.4,0,(NumCompetitors was blank -entered 0 as assumed - dwt)
6,23,0,4/27/1998,THPL,42.1,,33.8,28.8,25.1,0,(NumCompetitors was blank -entered 0 as assumed - dwt)
6,127,0,4/27/1998,THPL,39.8,,33.2,27.4,23.9,3,most or all dead on side cut (up to 1.8m) branches recently cut on 1 side for trail
6,242,0,4/27/1998,THPL,,34,26.9,21.7,20.7,2,butt swell (buttressed)
7,25,0,4/28/1998,THPL,31.5,,25.9,21.9,19.9,1,
7,29,0,4/28/1998,THPL,37.1,,25,22,20.9,1,
7,35,0,4/28/1998,THPL,,25,21.2,18.3,16.4,0,
7,42,0,4/28/1998,THPL,32.5,,25.4,22,19.9,1,buttress on left side
7,53,0,4/28/1998,THPL,36.4,,27.5,23.9,21.7,1,
8,3,0,4/27/1998,THPL,29.1,,21.6,17.5,16.1,3,
8,6,0,4/27/1998,THPL,30.1,,24.6,21,19.7,1,1.3 dia for stem form 0.3 higher than paint
8,261,0,4/27/1998,THPL,28.4,,22.1,19.5,17.6,2,paint mark low (on downhill side)
8,317,0,4/27/1998,THPL,22.1,,18,14.5,13.6,4,
8,332,0,4/27/1998,THPL,29,,22.3,18.8,17,4,
9,1,0,4/27/1998,THPL,24.3,,18.2,15.6,14.2,1,
9,20,0,4/27/1998,THPL,22.5,,16.8,14.7,13.2,0,
9,21,0,4/27/1998,THPL,41.5,,37.5,29.3,23,0,needs nail pulled
9,29,0,4/27/1998,THPL,20.5,,16.2,13.9,12.2,1,
9,83,0,4/27/1998,THPL,24.5,,19.5,14.9,12.4,1,
10,50,0,4/28/1998,THPL,37.6,,28.2,24.8,22.2,0,open on 1 side
10,63,0,4/28/1998,THPL,30.9,,24.5,22,22.6,2,
10,84,0,4/28/1998,THPL,41.1,,31.7,25.7,23.4,0,
10,90,0,4/28/1998,THPL,39.5,,31.2,23.4,21.1,0,"lower branches (below 1.3) recently cut on 1 side for trail, (NumCompetitors was blank -entered 0 as assumed - dwt)"
10,94,0,4/28/1998,THPL,39,,27.6,23.8,21.7,1,
11,4,0,4/28/1998,THPL,21.5,,16.8,15.4,14.9,5,
11,77,0,4/28/1998,THPL,,26.2,20.9,17.3,15.9,4,base flared & branch twisted
11,81,0,4/28/1998,THPL,,29.8,22.1,19.2,16.5,3,base flared
11,143,0,4/28/1998,THPL,26.3,20.2,16.3,14.1,12.5,0,
11,464,0,4/28/1998,THPL,21,,17,15,13.8,4,
11,472,0,4/28/1998,THPL,29.8,,20.3,16.9,15.5,2,branches recently pruned to 1 side to 1.3 (dead branches pruned)
13,4,0,4/28/1998,THPL,38.1,,29.3,23.5,21,2,bottom dia at 0.4
13,32,0,4/28/1998,THPL,37.4,,28.3,21.3,19.5,0,
13,38,0,4/28/1998,THPL,39.5,,30.3,25.9,24,1,
13,40,0,4/28/1998,THPL,52.4,,43.5,33.1,28.4,0,"largest branches 5.3,  4.9cm-open some sapsucker activity (old)"
13,59,0,4/28/1998,THPL,42.8,,35.9,32.5,26.1,4,
15,11,0,4/28/1998,THPL,34.5,,23.4,18.3,17.3,2,
15,13,0,4/28/1998,THPL,37.4,,26.2,20.7,19.7,2,
15,18,0,4/28/1998,THPL,35.9,,29.8,23.1,20.8,1,
15,20,0,4/28/1998,THPL,34.7,,23.9,20.7,19.3,1,buttress
15,25,0,4/28/1998,THPL,41,,33.2,24.4,22.5,2,
16,34,0,4/27/1998,THPL,42.5,,32.7,26.6,25.3,0,
16,36,0,4/27/1998,THPL,31.8,,26.3,21.2,19.2,0,slightly below due to whorl of branches
16,42,0,4/27/1998,THPL,34.3,,28.8,22.4,19.9,1,
16,48,0,4/27/1998,THPL,27.8,,24,17.8,16,0,
16,52,0,4/27/1998,THPL,27,,22,19.2,17.3,0,"high due to whorl,  root buttress, (NumCompetitors was blank -entered 0 as assumed - dwt)"
17,433,0,4/27/1998,THPL,21.2,,16.2,14.4,13,2,buttress
17,637,0,4/27/1998,THPL,14.7,,12.7,11,10,1,
17,642,0,4/27/1998,THPL,18.3,,14.5,12.7,11.9,1,
17,835,0,4/27/1998,THPL,18.2,,13.8,12.3,11.1,4,branch at base
17,842,0,4/27/1998,THPL,24.3,,16.5,15,13.6,1,buttress
17,848,0,4/27/1998,THPL,22.4,,16.8,14.3,12.9,1,
18,8,0,4/27/1998,THPL,42.8,,35.1,25.6,24,0,"butt swell, (NumCompetitors was blank -entered 0 as assumed - dwt)"
18,252,0,4/27/1998,THPL,19.7,,17,14.8,14,3,
18,254,0,4/27/1998,THPL,31.5,,26.4,22,20.6,1,butt swell
18,376,0,4/27/1998,THPL,,29.5,24.6,20.3,19.1,2,above butt swell .6
18,379,0,4/27/1998,THPL,30.4,,24.8,20.4,19.6,3,butt swell
20,12,0,4/28/1998,THPL,36.9,,26.5,20.6,18.5,0,"buttress,  double tree unable to separate"
20,18,0,4/28/1998,THPL,32.9,,25.3,20.5,18.5,3,
20,37,0,4/28/1998,THPL,29.9,,25,19.2,17.5,1,
20,38,0,4/28/1998,THPL,29.9,,22.2,18.4,17.4,2,moss thick
20,95,0,4/28/1998,THPL,27.4,,22.1,16.8,14.7,2,
23,13,0,4/28/1998,THPL,,36.2,28.7,25.4,22.4,0,dia at .6 due to root mass buttress
23,21,0,4/28/1998,THPL,33.5,,26.2,19.9,16.3,1,
23,25,0,4/28/1998,THPL,36.4,,27.6,21.6,18.3,2,buttress
23,61,0,4/28/1998,THPL,32.1,,25.7,18.8,16.8,1,
23,76,0,4/28/1998,THPL,34.9,,28.2,22.1,20.1,1,
